col1,col2,col3,col4,col5,col6,col7,col8,col9,target
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
44,170,15,51,38,83,11,21,22,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
44,170,15,51,38,83,11,21,22,5
20,164,9,54,29,88,26,38,22,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
44,170,15,51,38,83,11,21,22,5
20,164,8,51,32,114,26,29,18,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
20,164,8,51,32,114,26,29,18,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
47,163,39,51,34,72,30,55,29,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,8,51,32,114,26,29,18,5
20,164,9,54,29,88,26,38,22,5
20,164,8,51,32,114,26,29,18,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
22,165,13,54,34,88,29,29,17,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
20,164,9,54,29,88,26,38,22,5
29,169,10,54,29,88,20,40,27,5
47,163,39,51,34,72,30,55,29,5
29,169,10,54,29,88,20,40,27,5
29,169,10,54,29,88,20,40,27,5
22,165,13,54,34,88,29,29,17,5
44,170,15,51,38,83,11,21,22,5
29,169,10,54,29,88,20,40,27,5
